ASSUNTO e PALAVRAS CHAVES;SUBTEMA;NORMAS e DOCUMENTOS;URL;DESCRIÇÃO - ASSUNTO;VIGÊNCIA;DATA INICIO;DATA FIM;NORMA ATUAL;NÍVEL DE ACESSO
Não poderá haver solicitação de preenchimento de formulário de Declaração de Saúde na contratação ou adesão de plano em substituição a outro (individual ou coletivo independente do número de beneficiários), ao qual o beneficiário, titular ou não do plano, permaneceu vinculado por período superior a 24 (vinte e quatro) meses, desde que na mesma operadora, na mesma segmentação e sem interrupção de tempo.;Contratação/Adesão e Vigência Contratual;RESOLUÇÃO NORMATIVA Nº 162, DE 17 DE OUTUBRO DE 2007;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTIyMw==;"Estabelece a obrigatoriedade da Carta de Orientação ao Beneficiário; dispõe sobre Doenças ou Lesões Preexistentes (DLP); Cobertura Parcial Temporária (CPT); Declaração de Saúde e sobre o processo administrativo para comprovação do conhecimento prévio de DLP pelo beneficiário de plano privado de assistência à saúde no âmbito da Agência Nacional de Saúde Suplementar.
";18/10/2007 a 31/01/2023 - Revogada pela RN Nº 558/2022;18/10/2007;31/01/2023;RN Nº 558/2022;Público 
Não poderá haver solicitação de preenchimento de formulário de Declaração de Saúde na contratação ou adesão de plano em substituição a outro (individual ou coletivo independente do número de beneficiários), ao qual o beneficiário, titular ou não do plano, permaneceu vinculado por período superior a 24 (vinte e quatro) meses, desde que na mesma operadora, na mesma segmentação e sem interrupção de tempo.;Contratação/Adesão e Vigência Contratual;"RESOLUÇÃO NORMATIVA Nº 558, DE 14 DE DEZEMBRO DE 2022
";https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMzMA==;"Dispõe sobre Doenças ou Lesões Preexistentes (DLP); Cobertura Parcial Temporária (CPT); Declaração de Saúde; Carta de Orientação ao Beneficiário e sobre o processo administrativo para comprovação do conhecimento prévio de DLP pelo beneficiário de plano privado de assistência à saúde no âmbito da Agência Nacional de Saúde Suplementar – ANS.";"01/02/2023

 ";01/02/2023;;;Público 
O ex-empregado exonerado ou demitido sem justa causa, que contribuía para o custeio do seu plano privado de saúde, tem o direito de manter as mesmas condições de cobertura assistencial de que gozava quando da vigência do contrato de trabalho.;Demitidos, Exonerados e Aposentados ;RESOLUÇÃO NORMATIVA Nº 279, DE 24 DE NOVEMBRO DE 2011;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTg5OA==;Dispõe sobre a regulamentação dos artigos 30 e 31 da Lei nº 9.656, de 3 de junho de 1998, e revoga as Resoluções do CONSU nºs 20 e 21, de 7 de abril de 1999.;01/06/2012 a 30/03/2022 - Revogada pela RN Nº 488/2022;01/06/2012;30/03/2022;RN Nº 488/2022;Público 
O ex-empregado exonerado ou demitido sem justa causa, que contribuía para o custeio do seu plano privado de saúde, tem o direito de manter as mesmas condições de cobertura assistencial de que gozava quando da vigência do contrato de trabalho.;Demitidos, Exonerados e Aposentados ;RESOLUÇÃO NORMATIVA Nº 488, DE 29 DE MARÇO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDE0OA==;Dispõe sobre a regulamentação dos artigos 30 e 31 da Lei nº 9.656, de 3 de junho de 1998.;31/03/2022;31/03/2022;;;Público 
Não se confunde com sua efetiva cobrança, que nos contratos coletivo é responsabilidade da Administradora.;Reajuste por Variação de Custos/Reajuste por Mudança de Faixa Etária  ;RESOLUÇÃO NORMATIVA Nº 196, DE 14 DE JULHO DE 2009;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTQ1OQ==;Dispõe sobre a Administradora de Benefícios.;15/07/2009 a 31/05/2022 - Revogada pela RN Nº 515/2022;15/07/2009;31/05/2022;RN Nº 515/2022;Público 
Não se confunde com sua efetiva cobrança, que nos contratos coletivo é responsabilidade da Administradora.;Reajuste por Variação de Custos/Reajuste por Mudança de Faixa Etária/Contratação/Adesão e Vigência Contratual;RESOLUÇÃO NORMATIVA Nº 515, DE 29 DE ABRIL DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDIxMA==;Dispõe sobre a Administradora de Benefícios.;01/06/2022;01/06/2022;;;Público 
Periocidade do Reajuste - Critérios de Reajuste;Reajuste por Variação de Custos/Reajuste por Mudança de Faixa Etária  ;RESOLUÇÃO NORMATIVA Nº 195, DE 14 DE JULHO DE 2009;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTQ1OA==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde, regulamenta a sua contratação, institui a orientação para contratação de planos privados de assistência à saúde e dá outras providências.;"15/07/2009 a 31/01/2023 - Revogada pela RN Nº 557/2022

 ";15/07/2009;31/01/2023;RN Nº 557/2022;Público 
Periocidade do Reajuste - Critérios de Reajuste;Adaptação ou Migração Contratual;RESOLUÇÃO NORMATIVA Nº 557, DE 14 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMyOQ==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde e regulamenta a sua contratação, dispõe sobre a contratação de plano privado de assistência à saúde coletivo empresarial por empresário individual e dispõe sobre os instrumentos de orientação para contratação de planos privados de assistência à saúde.;"01/02/2023

 ";01/02/2023;;;Público 
Contratos não regulamentado com índice extinto ou indefinido.;Reajuste por Variação de Custos/Reajuste por Mudança de Faixa Etária  ;RESOLUÇÃO NORMATIVA Nº 171, DE 14 DE JULHO DE 2009;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTI4NA==;"Estabelece critérios para aplicação de reajuste das contraprestações pecuniárias dos planos privados de assistência suplementar à saúde, médico-hospitalares, com ou sem cobertura
odontológica, contratados por pessoas físicas ou jurídicas";30/04/2008 a 31/01/2023 - Revogada pela RN Nº 565/2022;30/04/2008;31/01/2023;RN Nº 565/2022;Público 
Contratos coletivos com menos de 30 vidas - Agrupamento ;Reajuste por Variação de Custos ;RESOLUÇÃO NORMATIVA Nº 309, DE 24 DE OUTUBRO DE 2012;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MjI4Mg==;Dispõe sobre o agrupamento de contratos coletivos de planos privados de assistência à saúde para fins de cálculo e aplicação de reajuste.;25/10/2012 a 31/01/2023 - Revogada pela RN Nº 565/2022;25/10/2012;31/01/2023;RN Nº 565/2022;Público 
Contratos coletivos com menos de 30 vidas - Agrupamento ;Reajuste por Variação de Custos ;RESOLUÇÃO NORMATIVA Nº 565, DE 16 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMzNw==;Dispõe sobre os critérios para aplicação de reajuste das contraprestações pecuniárias dos planos privados de assistência suplementar à saúde, médico-hospitalares, com ou sem cobertura odontológica, e dos planos privados de assistência suplementar à saúde exclusivamente odontológicos, contratados por pessoas físicas ou jurídicas e dispõe sobre o agrupamento de contratos coletivos de planos privados de assistência à saúde para fins de cálculo e aplicação de reajuste.;"01/02/2023

 ";01/02/2023;;;Público 
Data base do contrato coletivo e data de adesão. Item G, subitem 5 do Tema XII do Anexo I ;Reajuste por Variação de Custos ;INSTRUÇÃO NORMATIVA Nº 23, DE 1 DE DEZEMBRO DE 2009;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MjgxMw==;"Dispõe sobre os procedimentos do Registro de Produtos.
 ";01/12/2009 a 31/01/2023 - Revogada pela IN Nº28/2022;01/12/2009;31/01/2023;IN Nº28/2022;Público 
Data base do contrato coletivo e data de adesão. Item G, subitem 5 do Tema XII do Anexo I ;Reajuste por Variação de Custos ;INSTRUÇÃO NORMATIVA Nº 28, DE 16 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMyNQ==;"Dispõe sobre os procedimentos do Registro de Produtos.
 ";01/02/2023;01/02/2023;;;Público 
Anexo da IN 28/22 - Os contratos de planos de saúde devem dispor sobre os reajuste por variação de custos conformem itens do TEMA XII do Anexo;Reajuste por Variação de Custos ;MANUAL DE ELABORAÇÃO DOS CONTRATOS DE PLANOS DE SAÚDE;https://www.ans.gov.br/images/stories/Legislacao/rn/Anexo_IN_28.pdf;O contrato, regulamento ou outro documento que formalize a relação da Operadora com beneficiários de Plano de Saúde deve conter dispositivos sobre os temas  relacionados neste manual, sempre que couber.;01/02/2023;01/02/2023;;;Público 
Anexo da IN 28/22 - Os contratos de planos de saúde devem dispor sobre os reajuste por variação de custos e faixa etária conformem itens do TEMA  XIII do Anexo;Reajuste por Mudança de Faixa Etária ;MANUAL DE ELABORAÇÃO DOS CONTRATOS DE PLANOS DE SAÚDE;https://www.ans.gov.br/images/stories/Legislacao/rn/Anexo_IN_28.pdf;O contrato, regulamento ou outro documento que formalize a relação da Operadora com beneficiários de Plano de Saúde deve conter dispositivos sobre os temas  relacionados neste manual, sempre que couber.;01/02/2023;01/02/2023;;;Público 
Planos firmados em período anterior à edição do Plano Real;Reajuste por Variação de Custos ;LEI Nº 9.069, DE 29 DE JUNHO DE 1995;https://www.planalto.gov.br/ccivil_03/leis/l9069.htm;Dispõe sobre o Plano Real, o Sistema Monetário Nacional, estabelece as regras e condições de emissão do REAL e os critérios para conversão das obrigações para o REAL, e dá outras providências.;29/06/1995;29/06/1995;;;Público 
Após a instituição do Plano Real os reajustes não podem ser mensal;Reajuste por Variação de Custos ;LEI Nº 8.880, DE 27 DE MAIO DE 1994;https://www.planalto.gov.br/ccivil_03/leis/l8880.htm;Dispõe sobre o Programa de Estabilização Econômica e o Sistema Monetário Nacional, institui a Unidade Real de Valor (URV) e dá outras providências.;27/05/1994;27/05/1994;;;Público 
Retroatividade da cobrança - Atraso na negociação ;Reajuste por Variação de Custos ;INSTRUÇÃO NORMATIVA  Nº 13, DE 21 DE JULHO DE 2006;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=Mjg1Ng==;Define os procedimentos da comunicação dos reajustes das contraprestações pecuniárias dos planos privados de assistência suplementar à saúde, contratados por pessoa jurídica, independente de sua segmentação e da data de contratação, previstos nas Resoluções Normativas - RN nº 128, e RN nº 129, de 19 de maio de 2006.;"24/07/2006 a 31/01/2023 - Revogada pela IN Nº 29/2022

 24/07/2006 a 01/02/2023 - Revogada pela IN Nº 29/2022";FORMATO DESCONHECIDO;;;Público 
Retroatividade da cobrança - Atraso na negociação ;Reajuste por Variação de Custos ;INSTRUÇÃO NORMATIVA Nº 29, DE 16 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMyNg==;"Dispõe sobre os procedimentos da comunicação dos reajustes das contraprestações pecuniárias dos planos privados de assistência suplementar à saúde, contratados por pessoa jurídica, independentemente de sua segmentação e da data de contratação.
 ";01/02/2023;01/02/2023;;;Público 
O valor fixado para a última faixa etária não poderá ser superior a seis vezes o valor da primeira faixa etária - A variação acumulada entre a sétima e a décima faixas não poderá ser superior à variação acumulada entre a primeira e a sétima faixas;Reajuste por Mudança de Faixa Etária ;RESOLUÇÃO NORMATIVA N° 63, DE 22 DE DEZEMBRO DE 2003;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NzQ4;"Define os limites a serem observados para adoção de variação de preço por faixa etária nos planos privados de assistência à saúde contratados a partir de 1º de janeiro de 2004.
"; 24/07/2006 a 31/01/2023 - Revogada pela RN Nº 563/2022;24/07/2006;31/01/2023;RN Nº 563/2022;Público 
O valor fixado para a última faixa etária não poderá ser superior a seis vezes o valor da primeira faixa etária - A variação acumulada entre a sétima e a décima faixas não poderá ser superior à variação acumulada entre a primeira e a sétima faixas;Reajuste por Mudança de Faixa Etária ;RESOLUÇÃO NORMATIVA Nº 563, DE 15 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMzNQ==;Dispõe sobre os limites a serem observados para adoção de variação de preço por faixa etária nos planos privados de assistência à saúde contratados a partir de 1º de janeiro de 2004.;01/02/2023;01/02/2023;;;Público 
Omissão nos contratos de planos privados de assistência à saúde celebrados anteriormente à vigência da Lei nº 9.656;Reajuste por Mudança de Faixa Etária ;"SÚMULA NORMATIVA Nº 5, DE 4 DE DEZEMBRO DE 2003
";https://www.ans.gov.br/component/legislacao/?view=legislacao&task=pdfAtualizado&format=raw&id=NzM5;Os contratos individuais de planos privados de assistência à saúde celebrados anteriormente à vigência da Lei nº 9.656, de 3 de junho de 1998, cujas cláusulas não indiquem expressamente o índice de preços a ser utilizado para reajustes das contraprestações pecuniárias e sejam omissos quanto ao critério de apuração e demonstração das variações consideradas no cálculo do reajuste, deverão adotar o percentual de variação divulgado pela ANS e apurado de acordo com a metodologia e as diretrizes submetidas ao Ministério da Fazenda.;04/12/2003;04/12/2003;;;Público 
Mecanismos de atualização monetária mensal de preços, exigindo a adoção de instrumentos contratuais referenciados a tabelas de preços por faixa etária externas ou sob forma de anexo, o que chegou a constituir uma praxe nos mais diversos tipos de contratos de prestação continuada de serviço.;Reajuste por Mudança de Faixa Etária ;SÚMULA NORMATIVA Nº 3, DE 21 DE SETEMBRO DE 2001;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=pdfAtualizado&format=raw&id=NDM1;Desde que esteja prevista a futura variação de preço por faixa etária nos instrumentos contratuais, serão consideradas pela ANS as tabelas de venda e tabelas de preço anexas ou referidas nos textos contratuais informadas pelas operadoras, para fins verificação da previsão de variação por faixa etária prevista no inciso IV do § 1º do art. 35- E, da Lei nº 9.656, de 1998.;25/09/2001;25/09/2001;;;Público 
Para os planos de saúde antigos, aqueles contratados antes de 01/01/1999 – quando entrou em vigor a Lei nº 9.656/98, que regulamentou o setor de planos de saúde – e não adaptados à Lei, as regras de reajuste são aquelas estabelecidas em cada contrato.;Reajuste por Variação de Custos ;REAJUSTES DE PREÇOS DE PLANOS DE SAÚDE ANTIGOS;https://www.gov.br/ans/pt-br/assuntos/consumidor/reajuste-variacao-de-mensalidade/reajuste-anual-de-planos-individuais-familiares-1/reajustes-de-precos-de-planos-de-saude-antigos;Nos casos de contratos antigos sem cláusula clara relativa ao percentual de reajuste anual - que não indica expressamente o índice de preços a ser utilizado - ou nos casos em que as cláusulas são omissas quanto ao critério de apuração e demonstração das variações consideradas no cálculo de reajuste, o índice aplicado é limitado ao determinado pela ANS, não podendo ser superior ao percentual máximo autorizado aos planos de saúde individuais/familiares novos ou adaptados. Cabe destacar que, nestes casos, não é necessária prévia autorização da ANS. São exceções a essa regra os casos das operadoras que assinaram Termo de Compromisso - TC com a ANS para estabelecer a forma de apuração do percentual de reajuste a ser aplicado aos contratos celebrados antes de 01/01/1999 e não adaptados à Lei nº 9.656/98. Nestes casos, os percentuais autorizados para o reajuste anual por variação de custos são diferenciados por modalidade de operadora e estão disponíveis abaixo.;;;;;Público 
Administradora/Operadora está cobrando multa de XX% referente aos dias de atraso no pagamento da mensalidade, não concorda com o percentual - Administradora/Operadora encaminhou cobrança referente ao beneficiário após sua exclusão do plano/cancelamento do contrato;Mensalidade ou Outras Cobranças;LEI Nº 9.656, DE 3 DE JUNHO DE 1998;http://www.planalto.gov.br/ccivil_03/leis/L9656compilado.htm;"Cumprimento das cláusulas dos contratos firmados, a qualquer tempo, entre operadoras e usuários de planos privados de assistência à 
saúde (art. 25 da Lei 9.656/98).";01/01/1999;01/01/1999;;;Público 
Alteração no valor da mensalidade, após aposentadoria, demissão ou exoneração;Mensalidade ou Outras Cobranças;RESOLUÇÃO NORMATIVA Nº 488, DE 29 DE MARÇO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDE0OA==;Dispõe sobre a regulamentação dos artigos 30 e 31 da Lei nº 9.656, de 3 de junho de 1998.;31/03/2022;31/03/2022;;;Público 
Beneficiário questiona a devolução pró-rata das mensalidades, após cancelamento/exclusão a pedido;Mensalidade ou Outras Cobranças;RESOLUÇÃO NORMATIVA Nº 412, DE 10 DE NOVEMBRO DE 2016;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzMyNA==;Dispõe sobre a solicitação de cancelamento do contrato do plano de saúde individual ou familiar, e de exclusão de beneficiário de contrato coletivo empresarial ou por adesão.;11/11/2016 a 31/01/2023 - Revogada pela RN Nº 561/2022;11/11/2016;31/01/2023;RN Nº 561/2022;Público 
Operadora aumentou a mensalidade do plano sob alegação de adaptação do contrato e não assinou qualquer documento.;Mensalidade ou Outras Cobranças;RESOLUÇÃO NORMATIVA Nº 254, DE 5 DE MAIO DE 2011;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTczOA==;"Dispõe sobre a adaptação e migração para os contratos celebrados até 1º de janeiro de 1999 e altera as Resoluções Normativas nº 63, de 22 de dezembro de 2003, que define os limites a serem observados para adoção de variação de preço por faixa etária nos planos privados de assistência à saúde contratados a partir de 1º de janeiro de 2004; e nº 124, de 30 de março de 2006, que dispõe sobre a aplicação de penalidades para as infrações à legislação dos planos privados de assistência à saúde.";04/08/2012 a 31/01/2023- Revogada pela RN Nº 562/2022;FORMATO DESCONHECIDO;;;Público 
A regulamentação não autoriza a adaptação tácita e exige o fornecimento da proposta de adaptação que só deve entrar em vigor na data da assinatura pelo solicitante.;Mensalidade ou Outras Cobranças;RESOLUÇÃO NORMATIVA Nº 562, DE 15 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMzNA==;"Dispõe sobre a adaptação e migração para os contratos celebrados até 1º de janeiro de 1999.
 ";01/02/2023;01/02/2023;;;Público 
Efetuar cobrança direta ao beneficiário em contratos coletivos, casos autorizados pela regulamentação;Mensalidade ou Outras Cobranças;RESOLUÇÃO NORMATIVA Nº 195, DE 14 DE JULHO DE 2009;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTQ1OA==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde, regulamenta a sua contratação, institui a orientação para contratação de planos privados de assistência à saúde e dá outras providências.;"15/07/2009 a 31/01/2023 - Revogada pela RN Nº 557/2022

 ";15/07/2009;31/01/2023;RN Nº 557/2022;Público 
Alteração no valor da mensalidade em razão de ajuste atuarial aprovado pela ANS após transferência de carteira - RN 112;Mensalidade ou Outras Cobranças;RESOLUÇÃO NORMATIVA Nº 384, DE 4 DE SETEMBRO DE 2015;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzA2Ng==;Dispõe sobre possibilidade de ajuste atuarial para os novos produtos registrados após oferta pública de carteira para outra Operadora – OPRC;08/09/2015;08/09/2015;;;Público 
Variações das contraprestações pecuniárias em razão da idade do usuário e de seus dependentes - 07 (sete) faixas etárias;Mensalidade ou Outras Cobranças;RESOLUÇÃO DO CONSELHO DE SAÚDE SUPLEMENTAR – CONSU Nº 06 DE 3 DE NOVEMBRO DE 1998;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzEy;"Dispõe sobre critérios e parâmetros de variação das faixas etárias dos consumidores para efeito de cobrança diferenciada, bem como de limite máximo de variação de valores entre as faixas etárias definidas para planos e seguros de assistência à saúde.
";04/11/1998;04/11/1998;;;Público 
As condições de rescisão do contrato ou de suspensão de cobertura, nos planos privados de assistência à saúde coletivos por adesão ou empresarial, devem também constar do contrato celebrado entre as partes ;Suspensão e Rescisão Contratuais ;RESOLUÇÃO NORMATIVA Nº 195, DE 14 DE JULHO DE 2009;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTQ1OA==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde, regulamenta a sua contratação, institui a orientação para contratação de planos privados de assistência à saúde e dá outras providências.;"15/07/2009 a 31/01/2023 - Revogada pela RN Nº 557/2022

 ";15/07/2009;31/01/2023;RN Nº 557/2022;Público 
As condições de rescisão do contrato ou de suspensão de cobertura, nos planos privados de assistência à saúde coletivos por adesão ou empresarial, devem também constar do contrato celebrado entre as partes;Suspensão e Rescisão Contratuais ;RESOLUÇÃO NORMATIVA Nº 557, DE 14 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMyOQ==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde e regulamenta a sua contratação, dispõe sobre a contratação de plano privado de assistência à saúde coletivo empresarial por empresário individual e dispõe sobre os instrumentos de orientação para contratação de planos privados de assistência à saúde.;"01/02/2023

 ";01/02/2023;;;Público 
